# cup INT-group races 2022-2026 (exhibitions excluded, total_laps>0). Pulled from loop_data 2026-09-03.
# race_id|year|track|date|total_laps|cautions#start,finish,laps_led,fastest_laps;...
111|2022|Auto Club Speedway|2022-02-27|200|12#13,1,28,16;16,2,0,3;2,3,18,23;15,4,0,0;7,5,14,5;31,6,0,1;32,7,1,0;36,8,0,0;5,9,0,2;17,10,0,1;21,11,0,0;1,12,0,1;12,13,0,1;3,14,0,2;4,15,0,0;24,16,20,9;18,17,0,0;6,18,1,8;34,19,0,0;26,20,0,0;29,21,0,0;30,22,0,0;35,23,0,0;11,24,90,39;14,25,0,0;8,26,12,10;9,27,0,0;25,28,0,0;33,29,0,0;28,30,0,0;23,31,0,0;27,32,0,0;22,33,0,0;10,34,16,6;20,35,0,0;19,36,0,1
112|2022|Las Vegas Motor Speedway|2022-03-06|274|12#13,1,16,21;2,2,27,13;18,3,83,28;37,4,49,26;14,5,8,13;20,6,0,0;7,7,0,2;12,8,1,34;5,9,0,3;1,10,32,9;10,11,0,2;25,12,0,2;31,13,4,1;6,14,0,4;29,15,0,1;19,16,0,0;28,17,0,2;27,18,0,0;3,19,0,0;32,20,1,0;9,21,4,0;16,22,0,1;30,23,0,0;15,24,3,2;17,25,0,0;33,26,0,0;22,27,4,0;35,28,0,0;34,29,0,0;36,30,0,0;23,31,0,3;8,32,31,21;24,33,0,0;26,34,1,0;4,35,0,0;11,36,10,10;21,37,0,0
121|2022|Darlington Raceway|2022-05-08|293|9#1,1,107,30;10,2,10,23;29,3,0,2;35,4,1,1;34,5,0,11;3,6,3,8;16,7,0,3;26,8,0,4;14,9,0,2;20,10,0,5;12,11,0,0;21,12,0,0;9,13,24,16;25,14,0,1;27,15,0,3;18,16,0,0;7,17,0,0;19,18,0,12;31,19,1,0;13,20,0,0;22,21,42,7;33,22,0,0;32,23,1,0;4,24,28,12;11,25,1,6;28,26,0,2;17,27,0,5;6,28,0,19;15,29,0,0;8,30,26,27;24,31,0,1;36,32,0,0;5,33,19,15;23,34,0,1;30,35,0,0;2,36,30,18
122|2022|Kansas Speedway|2022-05-15|267|8#5,1,116,70;3,2,29,19;6,3,18,37;18,4,0,9;1,5,37,22;9,6,0,7;11,7,4,3;36,8,3,0;8,9,0,1;24,10,0,2;4,11,0,2;10,12,1,3;21,13,0,0;30,14,0,0;23,15,0,0;13,16,25,14;34,17,0,0;28,18,0,0;20,19,0,0;17,20,0,0;26,21,0,0;16,22,0,0;25,23,0,0;12,24,0,0;31,25,0,0;7,26,0,0;35,27,0,1;33,28,0,0;14,29,10,0;2,30,24,17;27,31,0,0;22,32,0,1;19,33,0,1;29,34,0,0;15,35,0,0;32,36,0,0
123|2022|Charlotte Motor Speedway|2022-05-29|413|18#1,1,15,2;4,2,36,17;18,3,0,0;15,4,2,20;3,5,0,25;8,6,19,19;29,7,0,5;10,8,0,0;36,9,51,22;9,10,0,14;17,11,0,0;14,12,0,1;28,13,0,0;25,14,0,0;22,15,153,66;30,16,0,0;24,17,0,0;33,18,0,0;31,19,0,0;23,20,9,3;21,21,0,1;16,22,0,0;34,23,0,0;27,24,0,0;12,25,36,51;19,26,0,6;20,27,0,0;7,28,1,9;11,29,2,1;35,30,0,0;2,31,2,9;5,32,1,4;13,33,86,26;6,34,0,1;37,35,0,1;32,36,0,0;26,37,0,0
124|2022|Gateway|2022-06-05|245|10#7,1,22,20;12,2,66,46;11,3,12,2;5,4,12,38;8,5,0,4;13,6,42,16;21,7,4,0;10,8,0,16;3,9,0,12;35,10,0,0;2,11,26,4;15,12,0,1;25,13,0,0;28,14,0,0;29,15,0,0;4,16,0,4;32,17,0,0;17,18,34,4;24,19,0,0;30,20,0,0;16,21,0,2;22,22,0,0;23,23,0,1;1,24,27,7;9,25,0,0;18,26,0,0;26,27,0,0;33,28,0,0;14,29,0,0;34,30,0,0;36,31,0,0;27,32,0,2;20,33,0,0;6,34,0,2;31,35,0,0;19,36,0,0
126|2022|Nashville Superspeedway|2022-06-26|300|10#4,1,42,20;19,2,3,1;6,3,1,7;3,4,0,12;7,5,0,8;1,6,114,68;24,7,0,3;9,8,0,1;2,9,4,0;8,10,0,6;23,11,0,0;30,12,0,2;18,13,0,0;20,14,0,0;5,15,0,6;25,16,0,0;11,17,0,0;16,18,0,0;14,19,0,0;22,20,0,0;36,21,54,39;10,22,82,47;21,23,0,0;33,24,0,0;26,25,0,0;17,26,0,0;31,27,0,0;32,28,0,0;27,29,0,0;15,30,0,0;29,31,0,1;35,32,0,0;34,33,0,0;28,34,0,1;13,35,0,10;12,36,0,0
130|2022|Pocono Raceway|2022-07-24|160|9#1,1,21,16;2,2,63,31;3,3,0,8;16,4,0,5;9,5,0,10;11,6,14,1;4,7,18,10;25,8,0,0;8,9,2,2;7,10,4,1;34,11,11,1;15,12,0,4;17,13,0,3;18,14,0,1;12,15,0,0;26,16,0,1;13,17,0,0;10,18,0,0;32,19,0,0;19,20,0,0;23,21,0,0;14,22,0,0;30,23,0,0;27,24,0,0;28,25,4,0;22,26,0,0;29,27,0,0;36,28,0,0;24,29,0,1;33,30,0,0;5,31,0,3;35,32,0,0;20,33,0,0;21,34,16,15;6,35,7,0;31,36,0,0
132|2022|Michigan International Speedway|2022-08-07|200|7#16,1,38,19;1,2,22,15;9,3,38,34;4,4,0,3;24,5,0,3;7,6,0,4;8,7,0,12;10,8,5,0;30,9,0,1;11,10,2,6;13,11,0,0;20,12,0,0;26,13,0,4;25,14,0,0;33,15,0,0;19,16,1,1;21,17,0,0;31,18,0,0;32,19,0,0;23,20,0,1;35,21,0,0;34,22,0,0;36,23,1,0;22,24,29,6;15,25,33,4;2,26,31,30;37,27,0,0;14,28,0,0;6,29,0,5;12,30,0,3;17,31,0,1;27,32,0,0;28,33,0,0;18,34,0,0;29,35,0,0;3,36,0,3;5,37,0,0
136|2022|Darlington Raceway|2022-09-04|367|9#15,1,23,8;11,2,6,22;4,3,0,9;1,4,64,25;2,5,0,11;10,6,0,6;25,7,11,4;3,8,50,24;8,9,4,3;16,10,0,1;22,11,0,2;7,12,0,11;9,13,0,2;30,14,0,2;21,15,0,3;6,16,0,2;13,17,0,1;36,18,0,11;14,19,0,0;12,20,1,49;28,21,0,1;29,22,0,1;24,23,0,0;34,24,4,1;26,25,1,8;27,26,0,2;19,27,0,0;31,28,0,1;35,29,0,0;5,30,155,35;17,31,48,46;32,32,0,0;18,33,0,0;33,34,0,0;20,35,0,6;23,36,0,0
