# cup 2025-26 start-projection study rows (BACKTEST_LOG 2026-09-03). race_id|year|race_number|grp|track|date#start,finish,trail10_pctile,last_race_finish_pctile,jayski_order_pctile;...
2|2025|1|SS|Daytona International Speedway|2025-02-16#1,4,0.4423,,;2,8,0.1105,,;3,29,0.5186,,;4,12,0.7658,,;5,1,0.2988,,;6,10,0.3408,,;7,14,0.8579,,;8,24,0.4581,,;9,40,0.6037,,;10,35,0.0886,,;11,2,0.4257,,;12,22,0.7628,,;13,41,0.5830,,;14,27,0.1729,,;15,23,0.3177,,;16,7,0.3229,,;17,15,0.3269,,;18,5,0.6778,,;19,9,,,;20,31,0.4598,,;21,34,0.2824,,;22,20,0.3573,,;23,16,0.4863,,;24,17,0.8927,,;25,11,0.0043,,;26,33,0.5918,,;27,32,0.4111,,;28,25,0.8423,,;29,37,0.4178,,;30,21,,,;31,18,0.8047,,;32,28,0.5842,,;33,30,0.7921,,;34,26,0.4446,,;35,19,0.7667,,;36,13,0.6098,,;37,36,0.7508,,;38,6,0.3738,,;39,38,0.4458,,;40,3,0.7296,,;41,39,,,
3|2025|2|SS|Atlanta Motor Speedway|2025-02-23#1,4,0.3303,0.1500,;2,28,0.0983,0.1750,;3,25,0.4581,0.9000,;4,12,0.1081,0.8500,;5,15,0.1947,0.6500,;6,7,0.3135,0.8250,;7,11,0.7721,0.8750,;8,30,0.3100,0.2250,;9,39,0.4989,0.6250,;10,34,0.6115,0.6750,;11,18,0.4453,0.7750,;12,14,0.5359,1.0000,;13,26,0.4525,0.1250,;14,9,0.4517,0.7000,;15,16,0.3223,0.5500,;16,27,0.2704,0.0000,;17,3,0.3812,0.4750,;18,19,0.4006,0.0250,;19,20,0.3373,0.3500,;20,29,0.7694,0.3250,;21,24,0.7786,0.4500,;22,10,0.6417,0.1000,;23,36,,0.5000,;24,13,0.0894,0.2500,;25,21,0.3791,0.0750,;26,2,0.7932,0.7250,;27,17,0.8292,0.4000,;28,31,0.6671,0.2750,;29,33,0.6477,0.3000,;30,23,0.5985,0.8000,;31,35,0.8089,0.6000,;32,1,0.4620,0.7500,;33,8,0.5460,0.9750,;34,5,0.7969,0.4250,;35,38,0.6931,0.5250,;36,32,0.4954,0.3750,;37,6,0.4176,0.5750,;38,22,0.9577,,;39,37,0.9769,,
4|2025|3|ROAD|Circuit of the Americas|2025-03-02#1,3,0.0982,0.4737,;2,20,0.3833,0.2105,;3,4,0.2156,0.5000,;4,13,0.5188,0.0263,;5,36,0.3310,0.8421,;6,6,0.1115,0.5789,;7,32,0.2051,0.0526,;8,5,0.5127,0.1579,;9,12,0.2995,0.1842,;10,10,0.6011,0.3684,;11,21,0.3571,0.1316,;12,30,0.3488,0.3421,;13,34,0.2153,0.8158,;14,37,,,;15,2,0.2324,0.6842,;16,11,0.3335,0.3158,;17,8,0.6265,0.8684,;18,14,0.5658,0.5263,;19,1,0.2980,0.0000,;20,29,0.6485,0.2632,;21,9,0.2698,0.6579,;22,18,0.6594,0.1053,;23,24,0.3704,0.2895,;24,7,0.5863,0.7632,;25,19,0.4113,0.0789,;26,15,0.6079,1.0000,;27,35,0.4527,0.3947,;28,33,0.7215,0.4474,;29,16,0.7147,0.6053,;30,23,,0.9211,;31,17,0.8050,0.4211,;32,27,0.8246,0.7895,;33,22,0.6471,0.2368,;34,28,0.7394,0.7368,;35,26,0.8715,0.6316,;36,25,0.4493,0.7105,;37,31,0.8723,0.8947,
5|2025|4|SHORT|Phoenix Raceway|2025-03-09#1,6,0.2753,0.0278,;2,13,0.2489,0.6389,;3,36,0.4928,0.3333,;4,4,0.6161,0.6944,;5,18,0.6238,0.7222,;6,10,0.3113,0.0833,;7,27,0.5030,0.2778,;8,34,0.6259,0.4167,;9,20,0.2231,0.0556,;10,2,0.3726,0.5556,;11,1,0.3225,0.0000,;12,28,0.3943,0.5000,;13,5,0.5249,0.1667,;14,19,0.3709,0.6667,;15,8,0.3414,0.1111,;16,22,0.4377,0.8056,;17,3,0.2237,0.8611,;18,37,0.8091,0.4444,;19,29,0.3509,0.5278,;20,33,0.4945,0.3889,;21,12,0.4994,0.9444,;22,21,0.6346,0.4722,;23,32,0.7032,0.6111,;24,11,0.4219,0.3056,;25,16,0.7572,0.7500,;26,9,0.6045,0.7778,;27,17,0.4719,0.2500,;28,15,0.6759,0.8889,;29,31,0.5332,0.1389,;30,35,0.4195,0.3611,;31,23,0.5639,0.9722,;32,7,0.3967,0.2222,;33,26,0.5595,0.1944,;34,25,0.3462,0.9167,;35,24,0.8780,0.8333,;36,14,0.7062,0.5833,;37,30,,,
6|2025|5|INT|Las Vegas Motor Speedway|2025-03-16#1,16,0.4656,0.7222,;2,15,0.2409,0.3333,;3,6,0.3637,0.5000,;4,33,0.3749,0.1944,;5,27,0.5943,0.4722,;6,7,0.4531,0.1667,;7,1,0.5487,0.0833,;8,4,0.2617,0.1389,;9,23,0.6361,0.2222,;10,9,0.2412,0.0556,;11,13,0.4933,0.1111,;12,3,0.6536,0.3889,;13,12,0.3503,0.0000,;14,24,0.2372,0.5278,;15,25,0.3787,0.0278,;16,10,0.2251,0.2500,;17,21,0.7324,0.4167,;18,8,0.4426,0.5833,;19,5,0.4344,0.2778,;20,28,0.3684,0.7778,;21,31,0.5862,0.6944,;22,32,0.4982,0.3056,;23,2,0.6229,0.6111,;24,17,0.4784,0.9444,;25,30,0.4632,0.9722,;26,26,0.6802,0.8611,;27,11,0.4797,0.8889,;28,34,0.5193,0.8333,;29,22,0.4352,0.6667,;30,20,0.7224,0.3611,;31,18,0.6470,0.5556,;32,29,0.4577,0.4444,;33,14,0.5858,0.9167,;34,19,0.7670,1.0000,;35,36,0.8780,0.6389,;36,35,0.4086,0.7500,
7|2025|6|INT|Homestead-Miami Speedway|2025-03-23#1,2,0.4110,0.1714,;2,17,0.5197,0.0000,;3,16,0.5895,0.8571,;4,4,0.4544,0.4571,;5,12,0.2433,0.0857,;6,36,0.4983,0.9714,;7,23,0.7334,0.5429,;8,19,0.3669,0.1429,;9,3,0.3586,0.7714,;10,7,0.3940,0.2000,;11,6,0.4732,0.3429,;12,14,0.2309,0.4000,;13,25,0.4793,0.6000,;14,1,0.2387,0.2286,;15,37,0.4394,0.8286,;16,29,0.3333,0.3143,;17,11,0.5615,0.6286,;18,18,0.2424,0.2571,;19,33,0.7865,0.5143,;20,8,0.2410,0.6571,;21,10,0.5901,0.3714,;22,21,0.3758,0.9143,;23,5,0.4007,0.6857,;24,28,0.6870,0.7143,;25,31,0.4192,0.1143,;26,20,0.4656,0.4286,;27,24,0.6532,0.4857,;28,15,0.5314,0.7429,;29,30,0.5411,0.8000,;30,13,0.5428,0.8857,;31,9,0.6414,0.0571,;32,26,0.5233,0.2857,;33,22,0.6089,0.0286,;34,27,0.6835,0.5714,;35,32,0.5235,0.9429,;36,34,0.8830,1.0000,;37,35,0.9794,,
8|2025|7|SHORT|Martinsville Speedway|2025-03-30#1,2,0.3453,0.7778,;2,4,0.2734,0.4722,;3,28,0.3677,0.0278,;4,5,0.2613,0.0000,;5,1,0.4159,0.1111,;6,25,0.4253,0.1389,;7,8,0.2534,0.3611,;8,3,0.3592,0.0556,;9,14,0.2911,0.1944,;10,22,0.2301,0.3056,;11,9,0.3978,0.0833,;12,17,0.4071,0.5556,;13,13,0.4639,0.6667,;14,33,0.4279,0.4444,;15,12,0.4810,0.5278,;16,26,0.6582,0.6111,;17,6,0.4453,0.8333,;18,18,0.5666,0.3333,;19,16,0.5465,0.2778,;20,38,0.3755,0.5000,;21,7,0.6356,0.2222,;22,34,0.6790,0.7500,;23,23,0.4055,0.1667,;24,30,0.5113,0.4167,;25,10,0.5811,0.8056,;26,21,0.6653,0.5833,;27,27,0.5905,0.6944,;28,15,0.6803,0.7222,;29,19,0.4270,1.0000,;30,29,0.5592,0.2500,;31,24,0.5091,0.3889,;32,11,0.4771,0.9722,;33,35,0.6125,0.8611,;34,20,0.6633,0.6389,;35,32,0.7578,0.8889,;36,31,0.8802,0.9167,;37,36,,,;38,37,,,
9|2025|8|INT|Darlington Raceway|2025-04-06#1,2,0.2322,0.5676,;2,26,0.6035,0.1622,;3,1,0.4184,0.0000,;4,28,0.3610,0.2162,;5,21,0.3281,0.0541,;6,11,0.3991,1.0000,;7,4,0.3099,0.3514,;8,10,0.3840,0.4324,;9,5,0.4609,0.2703,;10,29,0.4799,0.2973,;11,9,0.4769,0.3243,;12,14,0.5654,0.2432,;13,32,0.4888,0.4865,;14,6,0.3805,0.6486,;15,8,0.2288,0.0811,;16,12,0.5591,0.4054,;17,3,0.3453,0.0270,;18,13,0.2446,0.1892,;19,37,0.2583,0.1081,;20,33,0.6163,0.7027,;21,24,0.5959,0.7568,;22,18,0.4149,0.5946,;23,23,0.5792,0.4595,;24,36,0.3880,0.8649,;25,7,0.4719,0.1351,;26,19,0.5179,0.7838,;27,30,0.6293,0.6757,;28,25,0.6858,0.5135,;29,16,0.6533,0.3784,;30,15,0.6718,0.5405,;31,22,0.6631,0.8919,;32,34,0.7600,0.8378,;33,35,0.3676,0.7297,;34,17,0.5180,0.6216,;35,27,0.8928,0.8108,;36,20,0.6580,0.9189,;37,31,0.7985,,;38,38,0.9815,0.9444,
37|2025|9|SHORT|Bristol Motor Speedway|2025-04-13#1,37,0.4271,0.9189,;2,22,0.7480,0.6486,;3,1,0.3042,0.9730,;4,2,0.4157,0.0000,;5,5,0.4312,0.1081,;6,3,0.4688,0.2162,;7,8,0.3831,0.0541,;8,9,0.4101,0.4595,;9,11,0.4834,0.8378,;10,13,0.6256,0.6216,;11,12,0.4205,0.9459,;12,32,0.6737,0.4054,;13,30,0.4421,0.7568,;14,4,0.3367,0.7297,;15,14,0.3597,0.2432,;16,16,0.6217,0.8649,;17,10,0.5603,0.5946,;18,27,0.5510,0.2973,;19,31,,,;20,15,0.2505,0.1892,;21,17,0.3180,0.2703,;22,19,0.3200,0.5405,;23,33,0.6907,0.3784,;24,25,0.3616,0.1351,;25,28,0.7465,0.8919,;26,6,0.1673,0.0270,;27,18,0.3261,0.0811,;28,26,0.5342,0.4324,;29,20,0.5143,0.6757,;30,35,0.5140,0.3514,;31,23,0.5449,0.4865,;32,21,0.6239,0.7838,;33,29,0.6815,0.5676,;34,36,0.9036,0.7027,;35,7,0.4800,0.1622,;36,38,0.7526,0.5135,;37,34,0.6730,,;38,24,0.2230,0.3243,;39,39,0.9797,,
10|2025|10|SS|Talladega Superspeedway|2025-04-27#1,21,0.6953,0.6842,;2,29,0.2908,0.3421,;3,5,0.1044,0.6053,;4,2,0.4225,0.5000,;5,12,0.3281,0.2368,;6,36,0.2942,0.6316,;7,1,0.0893,0.4211,;8,28,0.4074,0.2895,;9,39,0.2890,0.1053,;10,19,0.5486,0.0526,;11,37,0.5062,0.1842,;12,15,0.6994,0.7368,;13,23,0.4839,0.0263,;14,13,0.1539,0.7632,;15,18,0.1835,0.8947,;16,4,0.2859,0.1316,;17,17,0.4107,0.0789,;18,9,0.4354,0.9474,;19,26,0.4743,0.2105,;20,10,0.4380,0.4737,;21,25,0.6221,0.8158,;22,38,0.4629,0.3947,;23,24,0.7189,0.7105,;24,11,0.6588,0.8421,;25,3,0.3862,0.0000,;26,16,0.4064,0.4474,;27,6,0.5646,0.5789,;28,8,0.7763,0.2632,;29,32,0.6306,0.5263,;30,7,0.3544,0.3684,;31,30,0.8055,,;32,22,0.5830,0.1579,;33,33,0.8056,0.9211,;34,20,0.6725,0.6579,;35,14,0.8058,0.5526,;36,31,0.6259,0.9737,;37,27,0.7471,0.3158,;38,35,0.9604,,;39,34,0.9910,1.0000,
