# oreilly 2025-26 start-projection study rows (BACKTEST_LOG 2026-09-05). race_id|year|race_number|grp|track|date#start,finish,trail10_pctile,last_race_finish_pctile,jayski_order_pctile;...
146|2025|1|SS|Daytona International Speedway|2025-02-15#1,18,0.2714,,;2,5,0.2075,,;3,12,,,;4,33,0.0319,,;5,28,0.2252,,;6,3,0.1987,,;7,37,0.5021,,;8,2,0.4112,,;9,1,0.0225,,;10,4,0.5105,,;11,35,,,;12,38,0.6838,,;13,24,0.4302,,;14,19,0.5602,,;15,25,,,;16,26,0.9730,,;17,32,,,;18,30,0.7734,,;19,8,,,;20,27,0.2365,,;21,20,0.3619,,;22,16,0.5744,,;23,36,0.7716,,;24,23,0.9185,,;25,9,0.5584,,;26,34,0.7506,,;27,22,0.3036,,;28,29,0.4705,,;29,14,0.8378,,;30,11,0.7755,,;31,31,0.7460,,;32,6,,,;33,17,0.2279,,;34,21,0.7250,,;35,10,0.5473,,;36,13,0.6126,,;37,15,0.7432,,;38,7,0.7838,,
147|2025|2|SS|Atlanta Motor Speedway|2025-02-22#1,16,0.0502,0.0000,;2,1,0.0389,0.8649,;3,15,0.3874,0.5135,;4,2,0.2326,0.4595,;5,36,0.3795,0.0270,;6,38,0.1623,0.1081,;7,13,0.4536,0.9730,;8,23,0.4838,0.0811,;9,29,,0.2973,;10,34,0.2919,0.7027,;11,9,0.1959,0.7297,;12,4,0.4151,0.6216,;13,7,0.6459,1.0000,;14,20,0.5304,0.4865,;15,5,,0.9189,;16,3,0.2946,,;17,14,0.1896,0.0541,;18,37,0.3606,0.5676,;19,10,,0.1351,;20,6,0.5735,0.4054,;21,25,0.6595,,;22,35,0.5766,0.1892,;23,27,0.5075,0.7568,;24,11,0.5713,0.2162,;25,19,0.7399,0.8919,;26,18,0.8761,0.5946,;27,33,0.7421,0.9459,;28,26,,0.8378,;29,8,0.7488,0.5405,;30,12,0.7772,0.2703,;31,17,0.7285,0.7838,;32,30,0.8176,0.3514,;33,24,0.7622,0.8108,;34,22,0.7087,,;35,32,0.8739,,;36,28,0.8739,,;37,31,0.8353,,;38,21,0.7892,0.3784,
148|2025|3|ROAD|Circuit of the Americas|2025-03-01#1,1,0.2838,0.8919,;2,8,0.6064,,;3,2,0.5068,,;4,29,0.2934,0.0270,;5,23,0.4730,0.5946,;6,31,0.4544,,;7,7,0.2190,1.0000,;8,3,0.1081,0.9459,;9,13,0.2934,,;10,5,,0.7568,;11,6,0.2587,0.4054,;12,4,0.2625,0.0000,;13,30,0.4903,0.3243,;14,12,0.3012,0.3514,;15,17,0.6162,0.1622,;16,11,0.3591,0.0811,;17,21,0.4479,0.9730,;18,10,0.7613,0.4865,;19,24,,0.1081,;20,26,0.5856,,;21,15,0.6255,0.3784,;22,32,0.7207,0.2973,;23,9,0.2108,0.2162,;24,38,,,;25,36,0.5878,,;26,22,0.5444,0.7838,;27,14,0.5135,,;28,34,0.5541,,;29,25,0.5367,0.1351,;30,18,0.5743,0.9189,;31,35,,0.2432,;32,20,0.7452,0.4324,;33,33,,0.6757,;34,16,0.8340,0.4595,;35,28,0.6100,0.2703,;36,27,0.9009,0.8649,;37,37,,,;38,19,0.5792,0.5135,
149|2025|4|SHORT|Phoenix Raceway|2025-03-08#1,2,,,;2,36,0.2730,0.2973,;3,14,0.3351,0.2703,;4,16,0.2432,0.0000,;5,9,0.1595,0.1351,;6,13,0.2748,0.2162,;7,10,0.3784,0.6216,;8,1,0.2892,0.0541,;9,6,0.1730,0.1622,;10,37,0.1892,0.0811,;11,15,0.5135,0.6486,;12,38,0.6162,0.4595,;13,7,0.1703,0.0541,;14,5,0.2270,0.7568,;15,12,0.4919,0.3784,;16,3,0.3270,0.7838,;17,19,0.5595,0.4324,;18,24,0.7432,0.2432,;19,21,0.6541,0.7297,;20,8,0.1712,0.1081,;21,20,0.7117,0.9189,;22,23,0.7027,0.5676,;23,17,0.6784,0.5135,;24,26,0.4162,0.5946,;25,32,0.3946,0.5405,;26,11,0.4784,0.7027,;27,34,0.8432,,;28,33,0.7459,0.4054,;29,30,0.7979,0.5676,;30,4,0.5297,0.4865,;31,27,0.6595,0.8378,;32,18,0.7324,0.7027,;33,25,0.6757,0.8649,;34,22,0.8919,0.7297,;35,35,0.8074,,;36,29,0.8562,0.6216,;37,28,0.9270,0.5405,;38,31,0.8784,0.6757,
150|2025|5|INT|Las Vegas Motor Speedway|2025-03-15#1,14,0.3081,0.3514,;2,17,0.4459,0.6757,;3,9,0.2230,0.4054,;4,19,0.1568,0.1351,;5,5,0.1919,0.1622,;6,1,0.2405,0.1081,;7,3,0.1541,0.2162,;8,38,0.2548,0.3243,;9,20,0.3243,0.2432,;10,23,0.4919,0.3784,;11,2,0.3027,0.0000,;12,21,0.4757,0.2703,;13,24,0.6351,0.5405,;14,4,0.1892,0.9730,;15,6,0.3676,0.0541,;16,12,0.5027,0.4865,;17,13,0.2568,0.1892,;18,8,0.6689,0.5135,;19,16,0.6784,0.7027,;20,7,0.5784,0.0811,;21,11,0.7622,0.4595,;22,18,0.4081,0.8378,;23,10,0.2378,0.9459,;24,29,0.4838,0.2973,;25,28,0.8239,,;26,25,0.7230,0.6486,;27,26,0.7054,0.6216,;28,15,0.5631,1.0000,;29,30,0.7459,0.1892,;30,22,0.6649,0.4324,;31,37,0.8919,0.5676,;32,32,0.8077,0.9189,;33,27,0.8562,0.7568,;34,31,0.6757,0.5946,;35,34,0.7432,0.8649,;36,36,0.6276,0.6757,;37,33,0.9270,0.7297,;38,35,0.8958,0.8108,
151|2025|6|INT|Homestead-Miami Speedway|2025-03-22#1,23,0.1568,0.4865,;2,12,0.2042,0.2162,;3,8,0.3027,0.5135,;4,1,0.2189,0.0000,;5,38,0.2919,0.3243,;6,2,0.1730,0.1081,;7,16,,,;8,22,0.5919,0.1622,;9,5,0.2892,0.2432,;10,36,0.6405,0.4054,;11,19,0.5027,0.7568,;12,11,0.6270,0.1892,;13,24,0.2466,1.0000,;14,10,0.3486,0.4324,;15,21,0.2378,0.3514,;16,25,0.6946,0.6757,;17,4,,,;18,17,0.4459,0.5405,;19,14,0.6649,0.5676,;20,6,0.1703,0.0541,;21,3,0.2216,0.0811,;22,26,0.5946,0.6216,;23,15,0.4757,0.5946,;24,13,0.5869,0.3784,;25,18,0.4324,0.4595,;26,28,0.8216,,;27,27,0.7270,0.2703,;28,20,0.7514,0.8919,;29,30,0.7748,,;30,9,0.4919,0.2973,;31,37,0.4166,0.8108,;32,33,0.8027,0.7297,;33,34,0.7405,0.7838,;34,35,0.8697,,;35,29,0.9324,0.8649,;36,32,0.7135,0.6486,;37,31,0.8752,0.7027,;38,7,0.3541,0.1351,
152|2025|7|SHORT|Martinsville Speedway|2025-03-29#1,28,0.1865,0.2973,;2,20,0.3054,0.2432,;3,1,0.2622,0.0541,;4,37,0.2027,0.1351,;5,24,0.5721,0.2703,;6,3,0.2054,0.0000,;7,22,0.4162,0.1622,;8,21,,,;9,7,0.5135,0.2162,;10,10,0.2351,0.5405,;11,29,0.1514,0.5946,;12,6,0.5912,0.3243,;13,8,0.5459,0.5676,;14,27,0.2553,0.6216,;15,13,0.3108,0.0270,;16,5,0.1838,0.0270,;17,38,0.4703,0.4595,;18,2,0.3000,0.1081,;19,34,0.2613,1.0000,;20,32,0.2613,0.1892,;21,33,0.7703,0.7838,;22,19,0.6459,0.6486,;23,14,0.5973,0.6757,;24,18,0.7459,0.5135,;25,31,0.8198,0.8919,;26,17,0.4703,0.4865,;27,12,0.4297,0.4324,;28,26,0.5973,0.9459,;29,4,0.6514,0.3514,;30,9,0.7523,0.8378,;31,25,0.8742,0.9189,;32,23,0.7973,0.7297,;33,16,,,;34,15,0.8779,0.8108,;35,35,0.7054,0.7027,;36,36,0.9088,0.9189,;37,30,0.8851,,;38,11,0.4649,0.3784,
153|2025|8|INT|Darlington Raceway|2025-04-05#1,25,,,;2,1,0.4324,0.5676,;3,3,0.2054,0.0541,;4,33,0.1757,0.7568,;5,14,0.2162,0.1081,;6,5,0.2919,0.5135,;7,17,0.4730,0.1622,;8,2,,,;9,7,0.2934,0.8919,;10,10,0.2459,0.0270,;11,11,0.1919,0.9730,;12,9,0.2486,0.2432,;13,38,0.7568,0.2162,;14,13,0.5058,0.6216,;15,8,0.2973,0.8378,;16,6,0.1865,0.7297,;17,12,0.5541,0.1892,;18,21,0.6081,0.3514,;19,16,0.2243,0.0000,;20,35,0.2649,0.7027,;21,23,0.6081,0.6757,;22,15,0.5270,0.2703,;23,19,0.6432,0.0811,;24,28,0.6108,0.4865,;25,22,0.7189,0.4595,;26,20,0.4486,0.2973,;27,4,0.4905,,;28,32,0.8865,0.3784,;29,36,0.4784,0.4324,;30,18,0.5586,0.1351,;31,24,0.6757,0.8108,;32,31,0.4676,1.0000,;33,37,0.7270,0.8919,;34,30,0.7405,0.9189,;35,29,0.8784,0.9730,;36,27,0.7928,,;37,26,0.8160,,;38,34,0.9129,0.9459,
154|2025|9|SHORT|Bristol Motor Speedway|2025-04-12#1,1,0.1532,0.0811,;2,12,0.2189,0.1351,;3,2,0.2865,0.1081,;4,3,0.2000,0.0541,;5,7,0.5541,0.2973,;6,11,0.2054,0.3514,;7,16,0.3074,0.1892,;8,4,0.2541,0.2162,;9,18,0.4649,0.5135,;10,26,0.4865,0.3243,;11,19,0.1568,0.8649,;12,21,0.5459,0.3784,;13,6,0.1838,0.2703,;14,5,0.3838,0.0000,;15,34,0.2865,0.9189,;16,8,0.4544,0.9730,;17,10,0.5811,0.4595,;18,24,0.2324,0.4054,;19,13,0.4108,0.4324,;20,22,0.7595,0.7838,;21,37,0.2676,0.2432,;22,9,0.2838,0.1622,;23,36,0.6541,0.4865,;24,20,0.5946,0.5405,;25,23,0.5622,0.5946,;26,14,0.4919,0.9459,;27,17,0.3964,0.4054,;28,30,0.5811,0.7297,;29,15,0.5054,0.8108,;30,25,0.8842,0.7568,;31,31,0.7027,1.0000,;32,27,0.7027,0.5676,;33,28,0.7954,0.8108,;34,29,0.8622,0.8378,;35,35,0.5514,,;36,32,0.9216,0.8919,;37,33,0.6784,,;38,38,0.8636,0.6486,
155|2025|10|SHORT|Rockingham Speedway|2025-04-19#1,14,0.1892,0.2973,;2,3,0.4595,0.4595,;3,32,0.2913,0.4054,;4,15,,,;5,26,0.2865,0.8919,;6,13,0.3838,0.1081,;7,1,0.2081,0.1351,;8,22,0.1973,0.0541,;9,24,0.3153,0.2162,;10,7,0.2649,0.6216,;11,27,0.1892,0.2703,;12,19,0.4649,0.1622,;13,2,0.2568,0.0811,;14,28,0.5865,0.5946,;15,6,0.1568,0.4865,;16,11,0.5811,0.5135,;17,37,0.3027,0.9730,;18,12,0.5568,0.2432,;19,36,0.4730,0.4324,;20,30,0.8041,0.7297,;21,8,0.5000,0.3514,;22,9,0.5216,0.5405,;23,34,0.7189,0.7027,;24,33,0.5919,0.7838,;25,17,0.2216,0.0270,;26,18,0.6703,0.6216,;27,10,0.3811,0.3243,;28,5,0.6649,0.9459,;29,4,0.4595,0.6757,;30,29,0.7147,0.8108,;31,38,,,;32,31,0.6595,,;33,23,0.8703,0.7568,;34,16,0.5784,0.3784,;35,21,0.7405,0.5676,;36,25,,,;37,20,0.8162,,;38,35,0.9189,0.8378,
